record_id,title,broad_topic,subtopic,candidate_count,candidate_path_ids,candidate_paths,status,reason
82625,Atlantic salmon aquaculture,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82626,FRDC Subprogram leaders report - Atlantic salmon aquaculture,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82627,Atlantic salmon aquaculture subprogram,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82628,Salmon Snippets. Atlantic Salmon Aquaculture Subprogram Newsletter,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82629,Second Scientific Conference of the Atlantic Salmon Aquaculture Subprogram - Handbook,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82630,The third scientific conference of the atlantic salmon aquaculture subprogram,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82656,Is Farmed Salmon Really Salmon,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
73425,The influence of nutritional and environmental factors on osmoregulation and cataracts in Atlantic salmon (Salmo salar L),Impacts; Production,Aquaculture facility; Feed; Fish biology; Management; Pathology; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
73426,Cataracts in rapidly growing farm raised Atlantic salmon (Salmo Salar),Production; Research methods,Fish biology; Fish health; Management; Methodology,10,V3_088; V3_116; V3_117; V3_118; V3_119; V3_120; V3_121; V3_122; V3_123; V3_124,Production > Fish health > General fish health; Production > Fish health > Sea lice epidemiology; Production > Fish health > Sea lice control and treatment; Production > Fish health > Fish response to sea lice; Production > Fish health > Sea lice impacts; Production > Fish health > Other diseases - General; Production > Fish health > Other diseases - Epidemiology; Production > Fish health > Other diseases - Prevention and treatment; Production > Fish health > Other diseases - Diagnosis and detection; Production > Fish health > Non-infectious disease and disorders,ambiguous,10 V3 paths match the existing lower-level labels.
73504,"The rainbow trout genome, an important landmark for aquaculture and genome evolution",Impacts; Production; Research methods,Environmental impacts; Fish biology; Methodology; Research stage,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
73579,Jellyfish blooms perception in Mediterranean finfish aquaculture,Business and economy; Impacts; Production; Research methods,Aquaculture facility; Fish biology; Legislation; Management; Methodology; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
73765,The FTZ-F1 gene encodes two functionally distinct nuclear receptor isoforms in the ectoparasitic copepod salmon louse (Lepeophtheirus salmonis),Business and economy; Impacts; Production,Environmental impacts; Fish biology; Legislation; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
73830,Diseases of aquaculture,Impacts,Environmental impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82419,"“Throwing Money into the Sea”: Capitalism as a World-ecological System. Evidence from the Chilean Salmon Industry Crisis, 2008",Business and economy,Economy,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82778,Atlantic Salmon Aquaculture Subprogram: Facilitation and administration,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82838,Exploring U.S. Aquaculture: Atlantic Salmon in Maine,Impacts; Production,Fish biology; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82856,Preliminary results of two year survey of Atlantic salmon gills from four Tasmanian farms,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82914,Seasonal dynamics in cellular and humoral immune parameters in farmed rainbow trout (Oncorhynchus mykiss),Production,Fish biology; Fish health; Management; Pathology,10,V3_088; V3_116; V3_117; V3_118; V3_119; V3_120; V3_121; V3_122; V3_123; V3_124,Production > Fish health > General fish health; Production > Fish health > Sea lice epidemiology; Production > Fish health > Sea lice control and treatment; Production > Fish health > Fish response to sea lice; Production > Fish health > Sea lice impacts; Production > Fish health > Other diseases - General; Production > Fish health > Other diseases - Epidemiology; Production > Fish health > Other diseases - Prevention and treatment; Production > Fish health > Other diseases - Diagnosis and detection; Production > Fish health > Non-infectious disease and disorders,ambiguous,10 V3 paths match the existing lower-level labels.
74446,Regional approaches to aquaculture and a case study of the North Atlantic Salmon Conservation Organization,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
74467,"Localization and transcription patterns of LsVasa, a molecular marker of germ cells in Lepeophtheirus salmonis (Krøyer)",Impacts; Production,Environmental impacts; Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82963,Return to the seas,Business and economy; Production,Companies; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
74820,"Gene expression in five salmon louse (Lepeophtheirus salmonis, Krøyer 1837) tissues",Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
74831,RNA sequencing reveals distinct gene expression patterns during the development of parasitic larval stages of the salmon louse (Lepeophtheirus salmonis),Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
74838,Morphology of Chrysochromulina Leadbeateri (Prymnesiophyceae) from Northern Norway,Production,Fish biology; Fish health; Management,10,V3_088; V3_116; V3_117; V3_118; V3_119; V3_120; V3_121; V3_122; V3_123; V3_124,Production > Fish health > General fish health; Production > Fish health > Sea lice epidemiology; Production > Fish health > Sea lice control and treatment; Production > Fish health > Fish response to sea lice; Production > Fish health > Sea lice impacts; Production > Fish health > Other diseases - General; Production > Fish health > Other diseases - Epidemiology; Production > Fish health > Other diseases - Prevention and treatment; Production > Fish health > Other diseases - Diagnosis and detection; Production > Fish health > Non-infectious disease and disorders,ambiguous,10 V3 paths match the existing lower-level labels.
74928,Aquaculture and disease control in Italy,Production,Aquaculture facility; Fish biology; Management; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
74969,"Globally Sown, Locally Grown: An Introduction",Business and economy; Impacts; Production,Aquaculture facility; Environmental impacts; Legislation,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75069,Prohibitin-2 gene reveals sex-related differences in the salmon louse Caligus rogercresseyi,Production; Research methods,Fish biology; Methodology; Pathology; Research stage,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75097,The introduction of rainbow trout (Oncorhynchus mykiss) in the context of socio-spatial Serra Catarinense,Impacts; Production,Fish biology; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75114,The role of molecular genetic markers in the management of cultured fishes,Consumption; Impacts; Production,Aquaculture facility; Environmental impacts; Fish biology; Management; Palatability; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75218,"Purification, characterization and in vivo studies of salmon heparin",Impacts; Production; Research methods,Fish biology; Management; Research stage; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75302,Shrimp and Salmon Farming,Business and economy; Production,Fish biology; Legislation; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75303,Farming Salmon: An Example of Aquaculture for the Mass Market,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75520,"Two new species of Bulbamphiascus Lang (Copepoda: Harpacticoida: Diosaccidae) from Scotland and the Isles of Scilly, with additional observations on B. denticulatus (Thompson)",,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83132,Presence of emerging contaminants in the feed used for salmon farming,Production,Feed,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
75896,"Genotyping of Salmon Gill Poxvirus Reveals One Main Predominant Lineage in Europe, Featuring Fjord- and Fish Farm-Specific Sub-Lineages",Impacts; Production; Research methods,Aquaculture facility; Environmental impacts; Fish biology; Management; Methodology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83205,Farming of Atlantic salmon--an experience from Norway,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83225,Aquaculture and sale of fish (Kaikyo-Salmon) on the special products,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83233,The potential and constraints of the norwegian salmon aquaculture production,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76068,Characterization of three salmon louse (Lepeophtheirus salmonis) genes with fibronectin II domains expressed by tegumental type 1 glands,Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76070,"Chitin Synthases Are Critical for Reproduction, Molting, and Digestion in the Salmon Louse (Lepeophtheirus salmonis)",Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76071,Chitin synthesis and degradation in Lepeophtheirus salmonis: Molecular characterization and gene expression profile during synthesis of a new exoskeleton,Business and economy; Production,Fish biology; Legislation; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76074,Practical Feeding—Salmon and Trout,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76080,"Rainbow Trout, Oncorhynchus mykiss",Consumption; Impacts; Production,Aquaculture facility; Environmental impacts; Feed; Fish biology; General,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83246,"Aquaculture\""There you go ... your salmon farming kit -- any questions?\""\""How deep do you plant them?\""",,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76127,Introduction,Impacts; Production,Environmental impacts; Feed; Fish biology; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82402,Environmental Collapse and Institutional Restructuring: The Sanitary Crisis in the Chilean Salmon Industry,Production,Fish biology; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83362,Development and Dispersal of Salmon Lice (Lepeophtheirus Salmonis KrØyer 1837) in Commercial Salmon Farming Localities,Production,Aquaculture facility; Fish biology; Management; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76740,"Salmon farming handbook: Stephen Drummond Sedgwick. Fishing News Books Ltd., Farnham, Great Britain, 1988. 208 pp., 49 illus., price £15.50 + £1.50 surface mail or £4.00 airmail, ISBN 0-85238-158-1",Business and economy,Economy,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76741,Handbook of Salmon Farming,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76747,The Faroe Islands,Impacts; Production,Aquaculture facility; Fish biology; Pathology; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76782,Astaxanthin from Microbial Sources,Production,Feed,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76874,An update of the salmon louse (Lepeophtheirus salmonis) reference genome assembly,Impacts; Production; Research methods,Aquaculture facility; Environmental impacts; Methodology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
76937,Extrapolating understanding of food risk perceptions to emerging food safety cases,Business and economy; Consumption; Impacts; Production; Research methods,Customer preference; Feed; Fish biology; Methodology; Safety; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83425,Submissions received on the Salmon Farming in Scotland Inquiry,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77086,Infectious salmon anemia,Production,Aquaculture facility; Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83439,Hydrozoan jellyfish and their interactions with Scottish salmon aquaculture,Business and economy; Impacts; Production; Research methods,Aquaculture facility; Environmental impacts; Fish biology; Fish welfare; Legislation; Management; Methodology; Pathology; Social impacts,3,V3_125; V3_126; V3_127,Production > Fish welfare > Welfare assessment; Production > Fish welfare > Welfare risks and consequences; Production > Fish welfare > Welfare improvement,ambiguous,3 V3 paths match the existing lower-level labels.
77140,Veterinary health plan for farmed salmon,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77167,"Gonad specific genes in Atlantic salmon (Salmon salar L.): characterization of tdrd7-2, dazl-2, piwil1 and tdrd1 genes",Production; Research methods,Fish biology; Methodology; Research stage,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77296,Infectious Pancreatic Necrosis Virus in Norwegian Fish Farms,Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83472,Hard to swallow : a brief history of food,Consumption; Production,Feed; General; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77404,Salmon fibrin glue in rats: antibody studies,Impacts; Production; Research methods,Fish biology; Methodology; Research stage; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77481,Something smells fishy,Production,Aquaculture facility; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77559,Salmon Farming,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77623,Improving Farmed Fish Quality and Safety - Improving farmed fish quality and safety,Business and economy; Consumption; Impacts; Production,Aquaculture facility; Contaminant; Environmental impacts; Feed; Fish biology; Fish health; General; Legislation; Management; Palatability; Pathology; Safety; Social impacts,10,V3_088; V3_116; V3_117; V3_118; V3_119; V3_120; V3_121; V3_122; V3_123; V3_124,Production > Fish health > General fish health; Production > Fish health > Sea lice epidemiology; Production > Fish health > Sea lice control and treatment; Production > Fish health > Fish response to sea lice; Production > Fish health > Sea lice impacts; Production > Fish health > Other diseases - General; Production > Fish health > Other diseases - Epidemiology; Production > Fish health > Other diseases - Prevention and treatment; Production > Fish health > Other diseases - Diagnosis and detection; Production > Fish health > Non-infectious disease and disorders,ambiguous,10 V3 paths match the existing lower-level labels.
83511,"Chapter 3: Standards, Science and Scale: The Case of Tasmanian Atlantic Salmon",Production,Aquaculture facility; Fish biology; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83518,Farmed salmon is now a staple in diets - but what they eat matters too,Consumption; Impacts; Production,Environmental impacts; Feed; Fish biology; Fish welfare; Management; Quality,3,V3_125; V3_126; V3_127,Production > Fish welfare > Welfare assessment; Production > Fish welfare > Welfare risks and consequences; Production > Fish welfare > Welfare improvement,ambiguous,3 V3 paths match the existing lower-level labels.
84491,Lipostatic regulation experimental provoked in farmed atlantic salmon (salmo salar L.),Business and economy; Consumption; Production,Aquaculture facility; Feed; Fish biology; Legislation; Management; Quality,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
77864,"Consumer Confidence, Food Safety, and Salmon Farming",Business and economy; Consumption; Impacts; Production,Customer preference; Environmental impacts; Fish biology; Safety; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83564,"Sustainable aquaculture is possible, with the right science",Business and economy,Legislation,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
78104,A continuous genome assembly of the corkwing wrasse (Symphodus melops),Production; Research methods,Fish biology; Fish welfare; Methodology; Pathology,3,V3_125; V3_126; V3_127,Production > Fish welfare > Welfare assessment; Production > Fish welfare > Welfare risks and consequences; Production > Fish welfare > Welfare improvement,ambiguous,3 V3 paths match the existing lower-level labels.
78140,Retention of viable microsporidial (Loma salmonae) spores within the blue mussel (Mytilus edulis): Use of an experimental laboratory model probing pathogen transfer within a multi-trophic aquaculture setting,Impacts; Production; Research methods,Aquaculture facility; Environmental impacts; Fish biology; Methodology; Mitigation; Pathology; Research stage,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83608,Recoveries of farmed Atlantic salmon in the Northeastern Pacific,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
78201,Salmon farming,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83615,Tides of change in British Columbia's salmon farming industry,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
78251,Variability in reproductive mode and larval development within the Capitella capitata species complex,Production,Fish biology; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
78308,"Introduction to Part Nine: Making Nature Productive: Stories of Farmed and Wild Salmon, Cows' Choice, Good Bugs, Earthworms and Gardening",Impacts; Production,Environmental impacts; Fish biology; Management; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83636,Possibility of construction of a Salmonidae fish farm in the hydrigraphic area of eastern Bosnia,Production,Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83643,Sustainable omega 3 sources for Salmon Aquaculture,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83675,Rainbow trout and salmon farming in Norway,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
78575,"Pseudomonas arcuscaelestis sp. nov., isolated from rainbow trout and water",Production; Research methods,Aquaculture facility; Feed; Fish biology; Management; Methodology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83702,The political ecology of farmed and transgenic salmon,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72448,Salmon aquaculture,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72450,Erratum,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72468,In This Issue,Consumption; Impacts,Contaminant; Environmental impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72476,Executive summary,Impacts,Environmental impacts; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72500,Italian manufacturer supplies salmon fish farms in Scandinavia,Production,Feed; Fish biology; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72503,Salmon Aquaculture in Crisis,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72513,Erratum: Exposing Atlantic Salmon post-smolts to fluctuating sublethal nitrite concentrations in a commercial recirculating aquaculture system (RAS) may have negative consequences,Production,Aquaculture facility; Fish biology; Fish health; Management,10,V3_088; V3_116; V3_117; V3_118; V3_119; V3_120; V3_121; V3_122; V3_123; V3_124,Production > Fish health > General fish health; Production > Fish health > Sea lice epidemiology; Production > Fish health > Sea lice control and treatment; Production > Fish health > Fish response to sea lice; Production > Fish health > Sea lice impacts; Production > Fish health > Other diseases - General; Production > Fish health > Other diseases - Epidemiology; Production > Fish health > Other diseases - Prevention and treatment; Production > Fish health > Other diseases - Diagnosis and detection; Production > Fish health > Non-infectious disease and disorders,ambiguous,10 V3 paths match the existing lower-level labels.
83719,Influence of Ectoparasites on the Growth of Salmo Gairdneri (Richardson),Production; Research methods,Aquaculture facility; Fish biology; Management; Methodology; Pathology; Research stage,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
78702,Salmon aquaculture threatens Patagonia,Impacts; Production; Research methods,Fish biology; Pathology; Research stage; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83768,Coho salmon farming in Puget Sound,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83779,Parliamentary Committee to scrutinise the farmed salmon industry in Scotland,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83781,Holyrood Committee releases their findings on the impact of salmon farming,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
79036,Genome Sequence of a Lactococcus lactis Strain Isolated from Salmonid Intestinal Microbiota,Production,Fish biology; Fish health; Pathology,10,V3_088; V3_116; V3_117; V3_118; V3_119; V3_120; V3_121; V3_122; V3_123; V3_124,Production > Fish health > General fish health; Production > Fish health > Sea lice epidemiology; Production > Fish health > Sea lice control and treatment; Production > Fish health > Fish response to sea lice; Production > Fish health > Sea lice impacts; Production > Fish health > Other diseases - General; Production > Fish health > Other diseases - Epidemiology; Production > Fish health > Other diseases - Prevention and treatment; Production > Fish health > Other diseases - Diagnosis and detection; Production > Fish health > Non-infectious disease and disorders,ambiguous,10 V3 paths match the existing lower-level labels.
79073,Journal of Aquaculture & Fisheries,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
79248,A New Species of Palpiphitime (Annelida: Dorvilleidae) from Western Canada,Production,Fish biology; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83852,Research Priorities in the British Columbia Salmon Farming Industry,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83853,The B.C. Salmon Farming Industry,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
79551,Atlantic Salmon: Recreational versus Commercial Interests,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83904,"From cage to plate : harvesting, processing and salmon products",Production,Aquaculture facility; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83913,Getting Hooked on Farmed Salmon: A Good Source of Omega-3s,Impacts; Production,Aquaculture facility; Environmental impacts; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82410,"Chile’s Salmon Industry. Policy Challenges in Managing Public Goods, A. Hosono, M. Iiizuka, J. Katz (Eds.)",Business and economy; Impacts,Legislation; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83918,The success of salmon and trout farming in Chile,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
83924,Production and feeding of farmed salmon in Latin America and the Caribbean,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
79902,Development of a selective-differential medium for the isolation of Yersinia ruckeri and its application in epidemiological studies,Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82368,Environmental efficiency in the salmon industry—an exploratory analysis around the 2007 ISA virus outbreak and subsequent regulations in Chile,Business and economy; Impacts; Production,Aquaculture facility; Environmental impacts; Fish biology; Legislation; Management; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
84024,Sustainable Premium Farmed Salmon | Sustainable Salmon Farming | Verlasso,Impacts,Environmental impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
84025,Farmed Salmon FAQ | Verlasso,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
84069,"Farming of the Rainbow Trout, Oncorhynchus mykiss, in the Black Sea Region of Turkey",Impacts; Production,Fish biology; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
84102,Farmed and wild salmon in Etneelva 2018,Impacts,Environmental impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
84103,On the origin of escaped farmed salmon,Impacts; Production; Research methods,Aquaculture facility; Environmental impacts; Fish biology; Management; Methodology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
80557,Genetic comparison of salmon from the White Sea and north‐western Atlantic Ocean,Impacts; Production,Aquaculture facility; Environmental impacts; Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
