record_id,title,abstract
78702,Salmon aquaculture threatens Patagonia,
83768,Coho salmon farming in Puget Sound,
83779,Parliamentary Committee to scrutinise the farmed salmon industry in Scotland,
83781,Holyrood Committee releases their findings on the impact of salmon farming,
79036,Genome Sequence of a Lactococcus lactis Strain Isolated from Salmonid Intestinal Microbiota,
79073,Journal of Aquaculture & Fisheries,
79248,A New Species of Palpiphitime (Annelida: Dorvilleidae) from Western Canada,
83852,Research Priorities in the British Columbia Salmon Farming Industry,
83853,The B.C. Salmon Farming Industry,
79551,Atlantic Salmon: Recreational versus Commercial Interests,
83904,"From cage to plate : harvesting, processing and salmon products",
83913,Getting Hooked on Farmed Salmon: A Good Source of Omega-3s,
82410,"Chile’s Salmon Industry. Policy Challenges in Managing Public Goods, A. Hosono, M. Iiizuka, J. Katz (Eds.)",
83918,The success of salmon and trout farming in Chile,
83924,Production and feeding of farmed salmon in Latin America and the Caribbean,
79902,Development of a selective-differential medium for the isolation of Yersinia ruckeri and its application in epidemiological studies,
82368,Environmental efficiency in the salmon industry—an exploratory analysis around the 2007 ISA virus outbreak and subsequent regulations in Chile,
84024,Sustainable Premium Farmed Salmon | Sustainable Salmon Farming | Verlasso,
84025,Farmed Salmon FAQ | Verlasso,
84069,"Farming of the Rainbow Trout, Oncorhynchus mykiss, in the Black Sea Region of Turkey",
84102,Farmed and wild salmon in Etneelva 2018,
84103,On the origin of escaped farmed salmon,
80557,Genetic comparison of salmon from the White Sea and north‐western Atlantic Ocean,
84118,Toxic compounds and farmed salmon,
84163,Don Staniford 'Norwegian Salmon Farms',
84165,"Research based on individual fish, a tool for better management of farmed salmon",
84167,Integrated management of salmon farming areas,
80842,Salmon Farming Handbook,
80927,Association for Political and Legal Anthropology: Debating Farmed Salmon Production,
84211,Hormonal induction of spawning in marine finfishes,
81231,Cultivation of Rainbow Trout (Oncorhynchus Mykiss) in the Cage Aquaculture of the Khojakent Reservoir of the Tashkent Region,
84259,Salmon Aquaculture Salmoniculture,
84293,Marine salmon farming in Scotland 1990: a review,
81450,Teleost Fish,
84308,Identifying emerging risks in salmon farming,
84330,Norway Salmon Farming Feeding the World - Vidatec,
81692,After all: Breeding words for technology in the Faroe Islands,
84359,Phylogenetic Relationships among Members in Salmoninae and Genetic Variation among Different Populations of Rainbow Trout Farmed in China Based on Cytb Sequence,
84515,Manual of Salmonid Farming,
84420,Aquaculture : Salmon and trout farming January 1979-March 1994,
84434,"Sesame, honey, ginger and soy grilled salmon with lime",
84456,Воспроизводство кеты и кижуча на Вилюйском лососевом рыбоводном заводе (Юго-Восточная Камчатка),
014-355-569-901-059,Correction: Sea lice infestation dataset for wild and farmed salmon populations on the Pacific coast of Canada (2001-2023).,
